Starting experiment at 05/31/2024 11:38:47
Time, Room, Distance, Subject Coord, Item Coord, Item, Pupil Size left, Pupil Size right
11:39:21, Room_121, NO_ITEMS, , , , 4.732895  4.520691
11:39:21, Room_121, NO_ITEMS, , , , 4.516251  4.583466
11:39:22, Room_121, NO_ITEMS, , , , 4.609573  4.546143
11:39:22, Room_121, NO_ITEMS, , , , 4.665894  4.476822
11:39:22, Room_121, NO_ITEMS, , , , 4.673996  4.529984
11:39:22, Room_121, NO_ITEMS, , , , 4.674301  4.564133
11:39:22, Room_121, NO_ITEMS, , , , 4.68808  4.595993
11:39:22, Room_121, NO_ITEMS, , , , 4.744415  4.600006
11:39:22, Room_121, NO_ITEMS, , , , 4.801254  4.637436
11:39:22, Room_121, NO_ITEMS, , , , 4.795471  4.636581
11:39:22, Room_121, NO_ITEMS, , , , 4.796402  4.577515
11:39:22, Room_121, NO_ITEMS, , , , 4.765518  4.576309
11:39:22, Room_121, NO_ITEMS, , , , 4.584717  4.494431
11:39:22, Room_121, NO_ITEMS, , , , 4.621841  4.634064
11:39:22, Room_121, NO_ITEMS, , , , 4.569427  4.484024
11:39:22, Room_121, NO_ITEMS, , , , 4.596893  4.537033
11:39:22, Room_121, NO_ITEMS, , , , 4.563568  4.469421
11:39:22, Room_121, NO_ITEMS, , , , 4.563904  4.489899
11:39:22, Room_121, NO_ITEMS, , , , 4.523727  4.434723
11:39:22, Room_121, NO_ITEMS, , , , 4.586258  4.421692
11:39:22, Room_121, NO_ITEMS, , , , 4.514282  4.24646
11:39:22, Room_121, NO_ITEMS, , , , 4.519531  4.235336
11:39:22, Room_121, NO_ITEMS, , , , 4.455215  4.246353
11:39:22, Room_121, NO_ITEMS, , , , 4.414566  4.265335
11:39:22, Room_121, NO_ITEMS, , , , 4.310822  4.220963
11:39:22, Room_121, NO_ITEMS, , , , 4.343552  4.074219
11:39:22, Room_121, NO_ITEMS, , , , 4.313843  4.076889
11:39:22, Room_121, NO_ITEMS, , , , 4.282471  4.086823
11:39:22, Room_121, NO_ITEMS, , , , 4.255997  3.911499
11:39:22, Room_121, NO_ITEMS, , , , 4.23732  3.876129
11:39:22, Room_121, NO_ITEMS, , , , 4.165878  4.030777
11:39:22, Room_121, NO_ITEMS, , , , 4.065857  3.908737
11:39:22, Room_121, NO_ITEMS, , , , 3.983292  3.852753
11:39:22, Room_121, NO_ITEMS, , , , 4.034302  3.681488
11:39:22, Room_121, NO_ITEMS, , , , 3.982361  3.681229
11:39:22, Room_121, NO_ITEMS, , , , 3.944763  3.716736
11:39:22, Room_121, NO_ITEMS, , , , 3.908218  3.666336
11:39:22, Room_121, NO_ITEMS, , , , 3.841446  3.602386
11:39:23, Room_121, NO_ITEMS, , , , 3.81395  3.572632
11:39:23, Room_121, NO_ITEMS, , , , 3.671143  3.650696
11:39:23, Room_121, NO_ITEMS, , , , 3.658524  3.55304
11:39:23, Room_121, NO_ITEMS, , , , 3.625656  3.522064
11:39:23, Room_121, NO_ITEMS, , , , 3.69072  3.446793
11:39:23, Room_121, NO_ITEMS, , , , 3.644928  3.469711
11:39:23, Room_121, NO_ITEMS, , , , 3.575317  3.544907
11:39:23, Room_121, NO_ITEMS, , , , 3.606903  3.46376
11:39:23, Room_121, NO_ITEMS, , , , 3.600464  3.510849
11:39:23, Room_121, NO_ITEMS, , , , 3.455795  3.482788
11:39:23, Room_121, NO_ITEMS, , , , 3.574875  3.330811
11:39:23, Room_121, NO_ITEMS, , , , 3.484161  3.453369
11:39:23, Room_121, NO_ITEMS, , , , 3.5737  3.445953
