Starting experiment at 05/30/2024 16:58:33
Time, Room, Distance, Subject Coord, Item Coord, Item, Pupil Size left, Pupil Size right
16:58:51, Room_121, NO_ITEMS, , , , 3.63678  3.888733
16:58:51, Room_121, NO_ITEMS, , , , 3.654846  3.891144
16:58:51, Room_121, NO_ITEMS, , , , 3.680145  3.902939
16:58:51, Room_121, NO_ITEMS, , , , 3.680908  3.906662
16:58:51, Room_121, 2.319419, (29.2  1.6  131.0), (30.1  0.5  132.8), Chess_01, 3.681808,3.903305
16:58:51, Room_121, 2.301298, (29.2  1.6  131.0), (30.1  0.5  132.8), Chess_01, 3.659805,3.801559
16:58:51, Room_121, 2.451847, (29.2  1.6  131.0), (30.1  0.4  132.9), Table, 3.631119,3.951843
16:58:51, Room_121, 2.496826, (29.2  1.6  131.0), (30.2  0.4  132.9), Table, 3.611176,4.009842
16:58:51, Room_121, 2.511473, (29.2  1.6  131.0), (30.2  0.4  133.0), Table, 3.608322,3.942032
16:58:51, Room_121, 2.495424, (29.2  1.6  131.0), (30.2  0.4  132.9), Table, 3.593491,3.969788
16:58:51, Room_121, 2.309209, (29.2  1.6  131.0), (30.1  0.5  132.8), Chess_01, 3.579742,3.977615
16:58:51, Room_121, 2.269932, (29.2  1.6  131.0), (30.0  0.5  132.8), Chess_01, 3.586105,3.984558
16:58:51, Room_121, 2.232, (29.2  1.6  131.0), (30.0  0.5  132.7), Chess_01, 3.644684,3.952805
16:58:51, Room_121, 2.252168, (29.2  1.6  131.0), (30.0  0.5  132.7), Chess_01, 3.623306,3.956955
16:58:51, Room_121, 2.24846, (29.2  1.6  131.0), (30.1  0.5  132.7), Chess_01, 3.626358,3.953445
16:58:51, Room_121, 2.246635, (29.2  1.6  131.0), (30.1  0.5  132.7), Chess_01, 3.655975,3.957611
16:58:51, Room_121, 2.247277, (29.2  1.6  131.0), (30.1  0.5  132.7), Chess_01, 3.660858,3.944305
16:58:51, Room_121, 2.240938, (29.2  1.6  131.0), (30.1  0.5  132.7), Chess_01, 3.671432,3.949478
16:58:51, Room_121, 2.24217, (29.2  1.6  131.0), (30.1  0.5  132.7), Chess_01, 3.691574,3.995087
16:58:51, Room_121, 2.192355, (29.1  1.6  131.0), (30.0  0.5  132.7), Chess_01, 3.768539,3.903824
16:58:52, Room_121, 2.190856, (29.1  1.6  131.0), (30.0  0.5  132.7), Chess_01, 3.75856,3.91684
