Starting Experiment now at 3/12/2024 10:47:29 AM

Time: 3/12/2024 10:47:35 AM   |     Distance: 2.992492    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.4, 0.1, 2.5)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.187286 5.181152
Time: 3/12/2024 10:47:35 AM   |     Distance: 3.11789    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.5, 0.1, 2.7)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.162155 5.410446
Time: 3/12/2024 10:47:35 AM   |     Distance: 3.03921    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.5, 0.1, 2.6)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.113876 5.494141
Time: 3/12/2024 10:47:35 AM   |     Distance: 3.124161    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.5, 0.1, 2.7)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.219849 5.641479
Time: 3/12/2024 10:47:35 AM   |     Distance: 3.125953    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.5, 0.1, 2.7)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.287979 5.678131
Time: 3/12/2024 10:47:35 AM   |     Distance: 3.275062    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.3, 0.1, 2.8)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.323486 5.780945
Time: 3/12/2024 10:47:35 AM   |     Distance: 3.257972    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.4, 0.1, 2.8)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.282303 5.738098
Time: 3/12/2024 10:47:35 AM   |     Distance: 3.271015    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.3, 0.1, 2.8)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.099411 5.687454
Time: 3/12/2024 10:47:35 AM   |     Distance: 3.592221    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.4, 0.1, 3.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.991409 5.592789
Time: 3/12/2024 10:47:36 AM   |     Distance: 3.786046    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (100.3, 0.1, 3.5)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.143616 5.518066
Time: 3/12/2024 10:47:36 AM   |     Distance: 4.465367    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (101.1, 0.5, 4.2)   |  Item: w4  |   Pupil Size (Left, right): -1 5.531357
Time: 3/12/2024 10:47:36 AM   |     Distance: 4.528067    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (101.4, 0.6, 4.2)   |  Item: w4  |   Pupil Size (Left, right): -1 5.985611
Time: 3/12/2024 10:47:36 AM   |     Distance: 5.00681    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (102.5, 0.5, 4.2)   |  Item: w4  |   Pupil Size (Left, right): -1 6.432739
Time: 3/12/2024 10:47:36 AM   |     Distance: 7.907461    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (104.5, 0.1, 6.3)   |  Item: Main_floor  |   Pupil Size (Left, right): -1 5.954102
Time: 3/12/2024 10:47:36 AM   |     Distance: 5.162376    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (102.8, 0.4, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.755478 6.320023
Time: 3/12/2024 10:47:36 AM   |     Distance: 5.123874    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (102.7, 0.4, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.747223 6.016769
Time: 3/12/2024 10:47:36 AM   |     Distance: 4.95218    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (102.2, 0.1, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.437347 6.122528
Time: 3/12/2024 10:47:36 AM   |     Distance: 4.810288    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (102.1, 0.1, 4.0)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.584457 5.692886
Time: 3/12/2024 10:47:36 AM   |     Distance: 3.956601    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (101.6, 0.1, 3.3)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.454117 6.01947
Time: 3/12/2024 10:47:36 AM   |     Distance: 4.085401    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (101.4, 0.1, 3.5)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.309875 5.525314
Time: 3/12/2024 10:47:36 AM   |     Distance: 3.884993    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (101.2, 0.1, 3.3)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.446152 5.669464
Time: 3/12/2024 10:47:36 AM   |     Distance: 3.134021    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (100.9, 0.1, 2.6)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.213058 5.918579
Time: 3/12/2024 10:47:36 AM   |     Distance: 3.159755    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (100.9, 0.1, 2.6)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.449692 5.609131
Time: 3/12/2024 10:47:36 AM   |     Distance: 3.58728    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (101.5, 0.1, 2.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.376236 5.806778
Time: 3/12/2024 10:47:36 AM   |     Distance: 3.220983    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (101.3, 0.1, 2.5)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.437622 5.581406
