Starting Experiment now at 3/8/2024 5:03:18 PM

Time: 3/8/2024 5:03:43 PM   |     Distance: 1.666361    |   Participant Coords: (80.4, 1.7, 29.2)   |   Item Coord: (80.7, 0.1, 28.9)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.628098 4.708206
Time: 3/8/2024 5:03:43 PM   |     Distance: 1.671336    |   Participant Coords: (80.4, 1.7, 29.2)   |   Item Coord: (80.7, 0.1, 28.9)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.657639 4.75174
Time: 3/8/2024 5:03:43 PM   |     Distance: 1.669024    |   Participant Coords: (80.4, 1.7, 29.2)   |   Item Coord: (80.7, 0.1, 28.9)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.634247 4.812286
Time: 3/8/2024 5:03:43 PM   |     Distance: 1.671933    |   Participant Coords: (80.5, 1.7, 29.2)   |   Item Coord: (80.7, 0.1, 28.9)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.56691 4.711517
Time: 3/8/2024 5:03:43 PM   |     Distance: 1.671556    |   Participant Coords: (80.5, 1.7, 29.2)   |   Item Coord: (80.7, 0.1, 28.9)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.538788 4.778076
Time: 3/8/2024 5:03:43 PM   |     Distance: 1.671302    |   Participant Coords: (80.5, 1.7, 29.2)   |   Item Coord: (80.7, 0.1, 28.9)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.636292 4.689346
Time: 3/8/2024 5:03:44 PM   |     Distance: 1.756674    |   Participant Coords: (80.5, 1.7, 29.2)   |   Item Coord: (80.9, 0.1, 28.7)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.492462 4.73996
Time: 3/8/2024 5:03:44 PM   |     Distance: 1.876414    |   Participant Coords: (80.5, 1.7, 29.2)   |   Item Coord: (81.1, 0.1, 28.5)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.582962 4.796555
Time: 3/8/2024 5:03:44 PM   |     Distance: 2.022639    |   Participant Coords: (80.5, 1.7, 29.2)   |   Item Coord: (81.2, 0.1, 28.2)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.580704 4.727631
Time: 3/8/2024 5:03:44 PM   |     Distance: 2.158245    |   Participant Coords: (80.5, 1.7, 29.2)   |   Item Coord: (81.3, 0.1, 28.0)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.519943 4.726624
Time: 3/8/2024 5:03:44 PM   |     Distance: 2.247621    |   Participant Coords: (80.5, 1.7, 29.2)   |   Item Coord: (81.3, 0.1, 27.8)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.503693 4.64653
Time: 3/8/2024 5:03:44 PM   |     Distance: 2.212752    |   Participant Coords: (80.5, 1.7, 29.1)   |   Item Coord: (81.3, 0.1, 27.9)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.528046 4.757019
Time: 3/8/2024 5:03:44 PM   |     Distance: 2.178237    |   Participant Coords: (80.5, 1.7, 29.1)   |   Item Coord: (81.2, 0.1, 27.9)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.358139 4.817566
Time: 3/8/2024 5:03:44 PM   |     Distance: 5.412524    |   Participant Coords: (80.6, 1.7, 29.1)   |   Item Coord: (82.3, 0.1, 24.3)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.694016 4.827377
Time: 3/8/2024 5:03:44 PM   |     Distance: 5.225447    |   Participant Coords: (80.6, 1.7, 29.1)   |   Item Coord: (81.7, 0.1, 24.3)   |  Item: w4  |   Pupil Size (Left, right): 4.603149 4.882187
