Starting Experiment now at 3/8/2024 1:38:27 PM

Time: 3/8/2024 1:39:54 PM   |     Distance: 4.190015    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (19.2, 0.1, 5.6)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.025604 3.658615
Time: 3/8/2024 1:39:55 PM   |     Distance: 4.2967    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (19.2, 0.1, 5.5)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.998444 3.666397
Time: 3/8/2024 1:39:55 PM   |     Distance: 4.226048    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (19.2, 0.1, 5.6)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.031982 3.70607
Time: 3/8/2024 1:39:55 PM   |     Distance: 4.281593    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (19.1, 0.1, 5.5)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.992249 3.612
Time: 3/8/2024 1:39:55 PM   |     Distance: 4.118697    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (19.2, 0.1, 5.7)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.99765 3.670105
Time: 3/8/2024 1:39:55 PM   |     Distance: 4.10033    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (19.2, 0.1, 5.7)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.080399 3.620102
Time: 3/8/2024 1:39:55 PM   |     Distance: 3.77123    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (19.1, 0.1, 6.1)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.042542 3.72229
Time: 3/8/2024 1:39:55 PM   |     Distance: 3.545634    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (19.0, 0.1, 6.4)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.05304 3.641907
Time: 3/8/2024 1:39:55 PM   |     Distance: 3.296108    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (18.8, 0.1, 6.8)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.985016 3.733047
Time: 3/8/2024 1:39:55 PM   |     Distance: 3.233442    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (18.4, 0.1, 7.2)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.013641 3.682892
Time: 3/8/2024 1:39:55 PM   |     Distance: 3.137697    |   Participant Coords: (20.5, 1.3, 9.3)   |   Item Coord: (18.2, 0.1, 7.7)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.117722 3.672989
Time: 3/8/2024 1:39:55 PM   |     Distance: 2.972656    |   Participant Coords: (20.5, 1.3, 9.3)   |   Item Coord: (18.1, 0.1, 8.0)   |  Item: Floor 1  |   Pupil Size (Left, right): -1 3.597366
Time: 3/8/2024 1:39:55 PM   |     Distance: 2.99135    |   Participant Coords: (20.5, 1.3, 9.3)   |   Item Coord: (18.1, 0.1, 8.1)   |  Item: Floor 1  |   Pupil Size (Left, right): -1 3.667313
Time: 3/8/2024 1:39:55 PM   |     Distance: 2.896461    |   Participant Coords: (20.5, 1.3, 9.3)   |   Item Coord: (18.2, 0.1, 8.1)   |  Item: Floor 1  |   Pupil Size (Left, right): -1 3.687576
Time: 3/8/2024 1:39:55 PM   |     Distance: 2.81788    |   Participant Coords: (20.5, 1.3, 9.3)   |   Item Coord: (18.2, 0.1, 8.3)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.986588 3.619537
Time: 3/8/2024 1:39:55 PM   |     Distance: 2.883233    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (18.1, 0.1, 8.2)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.117676 3.57901
Time: 3/8/2024 1:39:55 PM   |     Distance: 2.858243    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (18.2, 0.1, 8.2)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.034088 3.688629
Time: 3/8/2024 1:39:55 PM   |     Distance: 2.858804    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (18.2, 0.1, 8.2)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.930664 3.644394
Time: 3/8/2024 1:39:55 PM   |     Distance: 2.867276    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (18.1, 0.1, 8.2)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.000778 3.73645
Time: 3/8/2024 1:39:55 PM   |     Distance: 2.861654    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (18.2, 0.1, 8.2)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.988235 3.736176
Time: 3/8/2024 1:39:55 PM   |     Distance: 2.884862    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (18.1, 0.1, 8.2)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.9814 3.668396
