Starting Experiment now at 3/8/2024 10:29:11 AM

Time: 3/8/2024 10:30:07 AM   |     Distance: 21.23341    |   Participant Coords: (50.6, 18.6, 76.4)   |   Item Coord: (41.3, 0.0, 71.8)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 21.49047    |   Participant Coords: (51.9, 18.8, 77.1)   |   Item Coord: (42.5, 0.0, 72.7)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 21.7264    |   Participant Coords: (53.2, 19.1, 77.7)   |   Item Coord: (43.5, 0.0, 73.5)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 21.85151    |   Participant Coords: (54.5, 19.2, 78.4)   |   Item Coord: (44.8, 0.0, 74.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 19.25991    |   Participant Coords: (55.8, 19.3, 79.1)   |   Item Coord: (47.2, 2.5, 75.7)   |  Item: w1  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 22.04053    |   Participant Coords: (57.2, 19.5, 79.7)   |   Item Coord: (47.2, 0.2, 76.0)   |  Item: w1  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 21.98679    |   Participant Coords: (58.5, 19.6, 80.4)   |   Item Coord: (48.5, 0.3, 76.8)   |  Item: barrel_002  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 22.47691    |   Participant Coords: (59.9, 19.7, 81.0)   |   Item Coord: (49.6, 0.1, 77.5)   |  Item: Floor 1  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 22.59022    |   Participant Coords: (61.4, 19.8, 81.7)   |   Item Coord: (50.9, 0.1, 78.3)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 21.52263    |   Participant Coords: (62.9, 19.9, 82.3)   |   Item Coord: (52.9, 1.1, 79.2)   |  Item: w2  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 22.86254    |   Participant Coords: (64.5, 19.9, 83.0)   |   Item Coord: (53.7, 0.1, 79.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 23.05749    |   Participant Coords: (66.4, 20.1, 83.7)   |   Item Coord: (55.3, 0.0, 80.7)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 23.23977    |   Participant Coords: (68.3, 20.2, 84.3)   |   Item Coord: (57.0, 0.0, 81.6)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 23.45497    |   Participant Coords: (70.3, 20.3, 85.0)   |   Item Coord: (58.7, 0.0, 82.5)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 23.69982    |   Participant Coords: (72.6, 20.4, 85.7)   |   Item Coord: (60.7, 0.0, 83.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 23.90467    |   Participant Coords: (75.0, 20.7, 86.4)   |   Item Coord: (62.9, 0.2, 84.3)   |  Item: w2  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 24.38435    |   Participant Coords: (77.5, 20.9, 87.0)   |   Item Coord: (64.9, 0.1, 85.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 24.4548    |   Participant Coords: (80.0, 21.1, 87.6)   |   Item Coord: (67.3, 0.2, 86.1)   |  Item: w1  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 25.02641    |   Participant Coords: (82.6, 21.3, 88.1)   |   Item Coord: (69.4, 0.1, 86.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 23.65074    |   Participant Coords: (85.4, 21.5, 88.5)   |   Item Coord: (72.9, 1.5, 87.9)   |  Item: w2  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 25.66349    |   Participant Coords: (88.3, 21.7, 88.9)   |   Item Coord: (74.5, 0.1, 88.6)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 25.84071    |   Participant Coords: (91.2, 21.9, 89.3)   |   Item Coord: (77.3, 0.2, 89.4)   |  Item: w1  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 26.41081    |   Participant Coords: (94.2, 22.2, 89.5)   |   Item Coord: (79.8, 0.1, 90.0)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 26.91026    |   Participant Coords: (97.3, 22.6, 89.6)   |   Item Coord: (82.6, 0.0, 90.7)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 27.38451    |   Participant Coords: (100.6, 22.9, 89.6)   |   Item Coord: (85.6, 0.0, 91.3)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 27.8052    |   Participant Coords: (103.9, 23.2, 89.6)   |   Item Coord: (88.7, 0.0, 91.8)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 28.11168    |   Participant Coords: (107.4, 23.4, 89.4)   |   Item Coord: (92.0, 0.0, 92.3)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 28.31793    |   Participant Coords: (111.0, 23.5, 89.1)   |   Item Coord: (95.5, 0.0, 92.6)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 28.50159    |   Participant Coords: (114.6, 23.6, 88.7)   |   Item Coord: (99.1, 0.0, 92.8)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 28.57892    |   Participant Coords: (118.3, 23.6, 88.2)   |   Item Coord: (102.8, 0.0, 92.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 28.78087    |   Participant Coords: (121.9, 23.7, 87.5)   |   Item Coord: (106.4, 0.0, 92.8)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 28.98571    |   Participant Coords: (125.5, 23.8, 86.7)   |   Item Coord: (110.0, 0.0, 92.6)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 29.22322    |   Participant Coords: (128.9, 23.9, 85.8)   |   Item Coord: (113.4, 0.0, 92.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
