Starting Experiment now at 3/8/2024 4:48:13 PM

Time: 3/8/2024 4:48:29 PM   |     Distance: 1.140925    |   Participant Coords: (82.3, 1.6, 29.0)   |   Item Coord: (81.8, 0.9, 29.8)   |  Item: w3  |   Pupil Size (Left, right): 5.404449 5.548538
Time: 3/8/2024 4:48:29 PM   |     Distance: 1.242604    |   Participant Coords: (82.2, 1.6, 29.0)   |   Item Coord: (81.7, 0.8, 29.8)   |  Item: w3  |   Pupil Size (Left, right): 5.455444 5.613632
Time: 3/8/2024 4:48:29 PM   |     Distance: 1.340904    |   Participant Coords: (82.2, 1.6, 29.0)   |   Item Coord: (81.6, 0.7, 29.8)   |  Item: w3  |   Pupil Size (Left, right): 5.488861 5.655212
Time: 3/8/2024 4:48:29 PM   |     Distance: 1.336557    |   Participant Coords: (82.2, 1.6, 29.0)   |   Item Coord: (81.5, 0.7, 29.8)   |  Item: w3  |   Pupil Size (Left, right): 5.438553 5.607727
Time: 3/8/2024 4:48:29 PM   |     Distance: 1.267105    |   Participant Coords: (82.1, 1.6, 29.0)   |   Item Coord: (81.6, 0.8, 29.8)   |  Item: w3  |   Pupil Size (Left, right): 5.410599 5.61348
Time: 3/8/2024 4:48:29 PM   |     Distance: 1.412435    |   Participant Coords: (82.2, 1.6, 29.0)   |   Item Coord: (81.5, 0.6, 29.8)   |  Item: w3  |   Pupil Size (Left, right): 5.461044 5.691437
Time: 3/8/2024 4:48:30 PM   |     Distance: 1.419711    |   Participant Coords: (82.2, 1.6, 29.0)   |   Item Coord: (81.5, 0.6, 29.8)   |  Item: w3  |   Pupil Size (Left, right): 5.369873 5.58194
Time: 3/8/2024 4:48:30 PM   |     Distance: 1.932551    |   Participant Coords: (82.1, 1.6, 29.0)   |   Item Coord: (81.0, 0.2, 29.8)   |  Item: w3  |   Pupil Size (Left, right): 5.451035 5.575806
Time: 3/8/2024 4:48:30 PM   |     Distance: 2.183502    |   Participant Coords: (82.1, 1.6, 29.0)   |   Item Coord: (80.7, 0.1, 29.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.451172 5.210358
Time: 3/8/2024 4:48:30 PM   |     Distance: 2.27719    |   Participant Coords: (82.1, 1.6, 29.0)   |   Item Coord: (80.5, 0.1, 29.0)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.390076 6.009399
Time: 3/8/2024 4:48:30 PM   |     Distance: 2.197032    |   Participant Coords: (82.1, 1.6, 29.0)   |   Item Coord: (80.5, 0.1, 29.0)   |  Item: Main_floor  |   Pupil Size (Left, right): -1 5.478287
Time: 3/8/2024 4:48:30 PM   |     Distance: 2.184651    |   Participant Coords: (82.1, 1.6, 29.0)   |   Item Coord: (80.5, 0.1, 28.9)   |  Item: Main_floor  |   Pupil Size (Left, right): -1 5.477264
Time: 3/8/2024 4:48:30 PM   |     Distance: 2.234872    |   Participant Coords: (82.0, 1.6, 29.0)   |   Item Coord: (80.5, 0.1, 28.9)   |  Item: Main_floor  |   Pupil Size (Left, right): -1 5.622223
Time: 3/8/2024 4:48:30 PM   |     Distance: 2.222948    |   Participant Coords: (82.1, 1.6, 29.0)   |   Item Coord: (80.5, 0.1, 28.7)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.645325 5.647629
Time: 3/8/2024 4:48:30 PM   |     Distance: 2.235596    |   Participant Coords: (82.0, 1.6, 29.0)   |   Item Coord: (80.5, 0.1, 28.7)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.373184 5.762466
Time: 3/8/2024 4:48:30 PM   |     Distance: 2.229828    |   Participant Coords: (82.0, 1.6, 29.0)   |   Item Coord: (80.5, 0.1, 29.0)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.399704 5.544876
Time: 3/8/2024 4:48:30 PM   |     Distance: 2.179783    |   Participant Coords: (82.0, 1.6, 29.0)   |   Item Coord: (80.5, 0.1, 28.8)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.334641 5.661102
Time: 3/8/2024 4:48:30 PM   |     Distance: 2.193327    |   Participant Coords: (82.0, 1.6, 29.0)   |   Item Coord: (80.5, 0.1, 29.0)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.283813 5.319489
Time: 3/8/2024 4:48:30 PM   |     Distance: 2.138407    |   Participant Coords: (82.0, 1.6, 29.0)   |   Item Coord: (80.6, 0.1, 28.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.331055 5.496658
