Starting Experiment now at 3/8/2024 11:23:30 AM

Time: 3/8/2024 11:23:58 AM   |     Distance: 16.53289    |   Participant Coords: (100.6, 1.7, -9.5)   |   Item Coord: (91.4, 0.6, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.817078 6.454803
Time: 3/8/2024 11:23:58 AM   |     Distance: 10.70418    |   Participant Coords: (100.6, 1.7, -9.5)   |   Item Coord: (93.9, 0.1, -1.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.804489 6.091614
Time: 3/8/2024 11:23:58 AM   |     Distance: 16.24825    |   Participant Coords: (100.6, 1.7, -9.5)   |   Item Coord: (91.9, 0.8, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.842392 6.736191
Time: 3/8/2024 11:23:58 AM   |     Distance: 12.45405    |   Participant Coords: (100.6, 1.7, -9.5)   |   Item Coord: (93.0, 0.1, 0.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 6.199127 6.169281
Time: 3/8/2024 11:23:58 AM   |     Distance: 17.38582    |   Participant Coords: (100.6, 1.7, -9.6)   |   Item Coord: (89.4, 0.0, 3.7)   |  Item: Main_floor  |   Pupil Size (Left, right): 6.427353 5.899933
Time: 3/8/2024 11:23:58 AM   |     Distance: 17.85258    |   Participant Coords: (100.6, 1.7, -9.5)   |   Item Coord: (89.2, 0.5, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 6.255081 6.331116
Time: 3/8/2024 11:23:58 AM   |     Distance: 18.18028    |   Participant Coords: (100.6, 1.7, -9.5)   |   Item Coord: (88.7, 0.6, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 6.45871 6.589493
Time: 3/8/2024 11:23:58 AM   |     Distance: 17.93337    |   Participant Coords: (100.6, 1.7, -9.5)   |   Item Coord: (89.1, 0.3, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 6.420502 6.465012
Time: 3/8/2024 11:23:58 AM   |     Distance: 17.67813    |   Participant Coords: (100.6, 1.7, -9.5)   |   Item Coord: (89.5, 0.3, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 6.309479 7.113495
Time: 3/8/2024 11:23:58 AM   |     Distance: 6.937857    |   Participant Coords: (100.6, 1.7, -9.5)   |   Item Coord: (96.1, 0.1, -4.5)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.33696 6.363983
Time: 3/8/2024 11:24:01 AM   |     Distance: 14.02389    |   Participant Coords: (100.2, 1.7, -9.8)   |   Item Coord: (99.5, 1.0, 4.2)   |  Item: w4  |   Pupil Size (Left, right): -1 5.726303
Time: 3/8/2024 11:24:01 AM   |     Distance: 11.27083    |   Participant Coords: (100.3, 1.7, -9.8)   |   Item Coord: (100.5, 0.1, 1.3)   |  Item: Main_floor  |   Pupil Size (Left, right): 6.285172 6.310562
Time: 3/8/2024 11:24:01 AM   |     Distance: 14.18025    |   Participant Coords: (100.2, 1.7, -9.8)   |   Item Coord: (102.0, 0.1, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.912949 6.316162
Time: 3/8/2024 11:24:01 AM   |     Distance: 7.852219    |   Participant Coords: (100.2, 1.7, -9.8)   |   Item Coord: (98.6, 0.1, -2.3)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.062775 6.108536
Time: 3/8/2024 11:24:01 AM   |     Distance: 14.03306    |   Participant Coords: (100.2, 1.7, -9.8)   |   Item Coord: (99.5, 0.7, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.752319 6.567032
Time: 3/8/2024 11:24:01 AM   |     Distance: 10.42067    |   Participant Coords: (100.2, 1.7, -9.8)   |   Item Coord: (101.2, 0.1, 0.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.006424 6.433746
Time: 3/8/2024 11:24:02 AM   |     Distance: 14.01285    |   Participant Coords: (100.2, 1.7, -9.8)   |   Item Coord: (99.5, 1.4, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.199875 6.201904
Time: 3/8/2024 11:24:02 AM   |     Distance: 14.03926    |   Participant Coords: (100.2, 1.7, -9.8)   |   Item Coord: (99.2, 1.6, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.197449 6.258209
Time: 3/8/2024 11:24:02 AM   |     Distance: 11.18808    |   Participant Coords: (100.2, 1.7, -9.8)   |   Item Coord: (100.3, 0.1, 1.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.695755 6.236206
