Starting Experiment now at 3/8/2024 4:11:28 PM

Time: 3/8/2024 4:11:56 PM   |     Distance: 19.47078    |   Participant Coords: (99.2, 1.7, -9.7)   |   Item Coord: (118.4, 0.1, -7.1)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.448074 5.882477
Time: 3/8/2024 4:11:56 PM   |     Distance: 21.56797    |   Participant Coords: (99.2, 1.7, -9.7)   |   Item Coord: (120.5, 0.1, -6.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.282211 6.244919
Time: 3/8/2024 4:11:56 PM   |     Distance: 21.88465    |   Participant Coords: (99.2, 1.7, -9.7)   |   Item Coord: (120.8, 0.1, -6.7)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.984619 5.758408
Time: 3/8/2024 4:11:56 PM   |     Distance: 16.99763    |   Participant Coords: (99.2, 1.7, -9.7)   |   Item Coord: (115.9, 0.0, -7.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.224823 5.825714
Time: 3/8/2024 4:11:56 PM   |     Distance: 21.34319    |   Participant Coords: (99.2, 1.7, -9.7)   |   Item Coord: (120.3, 0.0, -7.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.131775 6.022614
Time: 3/8/2024 4:11:56 PM   |     Distance: 19.52549    |   Participant Coords: (99.2, 1.7, -9.7)   |   Item Coord: (118.5, 0.0, -7.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.352844 5.823364
Time: 3/8/2024 4:12:04 PM   |     Distance: 20.80149    |   Participant Coords: (99.0, 1.7, -9.6)   |   Item Coord: (119.3, 0.1, -5.5)   |  Item: Main_floor  |   Pupil Size (Left, right): 3.919388 4.133942
Time: 3/8/2024 4:12:04 PM   |     Distance: 25.24268    |   Participant Coords: (99.0, 1.7, -9.6)   |   Item Coord: (123.8, 0.1, -5.3)   |  Item: Main_floor  |   Pupil Size (Left, right): 3.930862 4.232651
Time: 3/8/2024 4:12:09 PM   |     Distance: 2.388773    |   Participant Coords: (48.5, 1.7, 45.2)   |   Item Coord: (50.1, 0.1, 44.3)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.649979 4.1633
Time: 3/8/2024 4:12:09 PM   |     Distance: 2.38535    |   Participant Coords: (48.5, 1.7, 45.2)   |   Item Coord: (50.1, 0.1, 44.3)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.655228 4.13858
Time: 3/8/2024 4:12:09 PM   |     Distance: 2.387048    |   Participant Coords: (48.5, 1.7, 45.2)   |   Item Coord: (50.1, 0.1, 44.3)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.65567 4.117645
Time: 3/8/2024 4:12:09 PM   |     Distance: 2.383209    |   Participant Coords: (48.5, 1.7, 45.2)   |   Item Coord: (50.1, 0.1, 44.3)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.655899 4.117523
Time: 3/8/2024 4:12:09 PM   |     Distance: 2.395715    |   Participant Coords: (48.6, 1.7, 45.2)   |   Item Coord: (50.1, 0.1, 44.3)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.67009 4.105042
Time: 3/8/2024 4:12:09 PM   |     Distance: 2.389864    |   Participant Coords: (48.6, 1.7, 45.2)   |   Item Coord: (50.1, 0.1, 44.3)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.545883 3.990784
Time: 3/8/2024 4:12:09 PM   |     Distance: 2.38245    |   Participant Coords: (48.6, 1.7, 45.1)   |   Item Coord: (50.1, 0.1, 44.3)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.565399 3.971924
Time: 3/8/2024 4:12:09 PM   |     Distance: 2.396616    |   Participant Coords: (48.6, 1.7, 45.2)   |   Item Coord: (50.1, 0.1, 44.3)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.524826 3.853592
Time: 3/8/2024 4:12:09 PM   |     Distance: 2.037785    |   Participant Coords: (48.6, 1.7, 45.2)   |   Item Coord: (50.3, 1.0, 44.3)   |  Item: w4  |   Pupil Size (Left, right): 3.536667 3.97374
Time: 3/8/2024 4:12:09 PM   |     Distance: 2.091059    |   Participant Coords: (48.6, 1.7, 45.2)   |   Item Coord: (50.3, 1.0, 44.3)   |  Item: w4  |   Pupil Size (Left, right): 3.589233 4.043076
Time: 3/8/2024 4:12:09 PM   |     Distance: 2.12909    |   Participant Coords: (48.6, 1.7, 45.2)   |   Item Coord: (50.4, 1.0, 44.3)   |  Item: w4  |   Pupil Size (Left, right): 3.472092 4.00679
Time: 3/8/2024 4:12:09 PM   |     Distance: 2.272331    |   Participant Coords: (48.6, 1.7, 45.2)   |   Item Coord: (50.5, 0.9, 44.3)   |  Item: w4  |   Pupil Size (Left, right): 3.698364 4.055618
Time: 3/8/2024 4:12:09 PM   |     Distance: 4.487405    |   Participant Coords: (48.6, 1.7, 45.2)   |   Item Coord: (52.8, 0.1, 44.7)   |  Item: w2  |   Pupil Size (Left, right): 3.844635 4.259781
Time: 3/8/2024 4:12:09 PM   |     Distance: 4.501678    |   Participant Coords: (48.6, 1.7, 45.2)   |   Item Coord: (52.8, 0.1, 45.9)   |  Item: w2  |   Pupil Size (Left, right): 3.936005 4.371201
Time: 3/8/2024 4:12:09 PM   |     Distance: 4.591866    |   Participant Coords: (48.6, 1.7, 45.2)   |   Item Coord: (52.8, 0.1, 46.2)   |  Item: w2  |   Pupil Size (Left, right): 3.91777 4.296661
Time: 3/8/2024 4:12:09 PM   |     Distance: 4.425398    |   Participant Coords: (48.6, 1.7, 45.2)   |   Item Coord: (52.5, 0.1, 46.2)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.888123 4.399551
Time: 3/8/2024 4:12:09 PM   |     Distance: 4.454702    |   Participant Coords: (48.6, 1.7, 45.2)   |   Item Coord: (52.6, 0.1, 46.1)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.954895 4.480499
Time: 3/8/2024 4:12:09 PM   |     Distance: 4.323766    |   Participant Coords: (48.6, 1.7, 45.2)   |   Item Coord: (52.5, 0.1, 45.8)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.174973 4.331924
Time: 3/8/2024 4:12:09 PM   |     Distance: 4.133484    |   Participant Coords: (48.6, 1.7, 45.2)   |   Item Coord: (52.3, 0.1, 45.8)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.030151 4.346863
Time: 3/8/2024 4:12:09 PM   |     Distance: 3.441608    |   Participant Coords: (48.6, 1.7, 45.2)   |   Item Coord: (51.6, 0.1, 45.5)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.962021 4.45195
Time: 3/8/2024 4:12:09 PM   |     Distance: 2.002012    |   Participant Coords: (48.6, 1.6, 45.2)   |   Item Coord: (49.8, 0.1, 45.0)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.860367 4.515015
Time: 3/8/2024 4:12:10 PM   |     Distance: 1.820407    |   Participant Coords: (48.6, 1.6, 45.2)   |   Item Coord: (49.4, 0.1, 44.9)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.727951 4.233734
Time: 3/8/2024 4:12:10 PM   |     Distance: 1.859882    |   Participant Coords: (48.6, 1.6, 45.2)   |   Item Coord: (49.5, 0.1, 44.8)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.843613 4.39357
Time: 3/8/2024 4:12:10 PM   |     Distance: 1.87479    |   Participant Coords: (48.6, 1.6, 45.2)   |   Item Coord: (49.5, 0.1, 44.8)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.681641 4.484543
Time: 3/8/2024 4:12:10 PM   |     Distance: 1.865291    |   Participant Coords: (48.6, 1.6, 45.1)   |   Item Coord: (49.5, 0.1, 44.9)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.075684 4.565018
Time: 3/8/2024 4:12:10 PM   |     Distance: 1.870995    |   Participant Coords: (48.6, 1.6, 45.1)   |   Item Coord: (49.5, 0.1, 44.9)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.173859 4.669067
Time: 3/8/2024 4:12:10 PM   |     Distance: 1.881929    |   Participant Coords: (48.6, 1.6, 45.1)   |   Item Coord: (49.6, 0.1, 44.9)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.151062 4.711441
Time: 3/8/2024 4:12:10 PM   |     Distance: 1.900101    |   Participant Coords: (48.6, 1.6, 45.1)   |   Item Coord: (49.6, 0.1, 44.9)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.148361 4.719879
Time: 3/8/2024 4:12:10 PM   |     Distance: 1.904799    |   Participant Coords: (48.6, 1.6, 45.1)   |   Item Coord: (49.6, 0.1, 44.9)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.121918 4.794479
Time: 3/8/2024 4:12:10 PM   |     Distance: 1.90166    |   Participant Coords: (48.6, 1.6, 45.1)   |   Item Coord: (49.6, 0.1, 44.9)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.28154 4.679443
Time: 3/8/2024 4:12:10 PM   |     Distance: 1.918086    |   Participant Coords: (48.6, 1.6, 45.1)   |   Item Coord: (49.6, 0.1, 44.9)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.171829 4.82959
Time: 3/8/2024 4:12:10 PM   |     Distance: 1.90397    |   Participant Coords: (48.6, 1.6, 45.1)   |   Item Coord: (49.6, 0.1, 44.9)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.171967 4.891083
Time: 3/8/2024 4:12:10 PM   |     Distance: 1.89094    |   Participant Coords: (48.6, 1.6, 45.1)   |   Item Coord: (49.6, 0.1, 44.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.19072 4.82486
Time: 3/8/2024 4:12:10 PM   |     Distance: 1.907888    |   Participant Coords: (48.6, 1.6, 45.1)   |   Item Coord: (49.6, 0.1, 44.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.088974 4.820663
Time: 3/8/2024 4:12:10 PM   |     Distance: 1.921818    |   Participant Coords: (48.6, 1.6, 45.1)   |   Item Coord: (49.7, 0.1, 44.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.193695 4.699768
Time: 3/8/2024 4:12:10 PM   |     Distance: 1.943049    |   Participant Coords: (48.6, 1.6, 45.1)   |   Item Coord: (49.7, 0.1, 44.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.154678 4.794678
Time: 3/8/2024 4:12:10 PM   |     Distance: 1.946186    |   Participant Coords: (48.6, 1.6, 45.1)   |   Item Coord: (49.7, 0.1, 44.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.268906 4.508835
