Starting Experiment now at 3/8/2024 12:14:24 PM

Time: 3/8/2024 12:14:42 PM   |     Distance: 11.86632    |   Participant Coords: (99.8, 1.7, -10.1)   |   Item Coord: (101.7, 0.0, 1.5)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.913147 5.952835
Time: 3/8/2024 12:14:42 PM   |     Distance: 11.35339    |   Participant Coords: (99.8, 1.7, -10.1)   |   Item Coord: (101.7, 0.0, 0.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.8759 5.99057
Time: 3/8/2024 12:14:42 PM   |     Distance: 11.61502    |   Participant Coords: (99.8, 1.7, -10.1)   |   Item Coord: (102.0, 0.0, 1.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.862167 5.91864
Time: 3/8/2024 12:14:42 PM   |     Distance: 12.50795    |   Participant Coords: (99.8, 1.8, -10.1)   |   Item Coord: (102.5, 0.0, 2.0)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.938293 5.864777
Time: 3/8/2024 12:14:42 PM   |     Distance: 13.54792    |   Participant Coords: (99.8, 1.8, -10.1)   |   Item Coord: (102.8, 0.0, 3.0)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.768631 5.910553
Time: 3/8/2024 12:14:42 PM   |     Distance: 11.98835    |   Participant Coords: (99.8, 1.8, -10.1)   |   Item Coord: (102.5, 0.0, 1.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.91568 5.886032
Time: 3/8/2024 12:14:42 PM   |     Distance: 12.69853    |   Participant Coords: (99.8, 1.8, -10.1)   |   Item Coord: (102.7, 0.0, 2.1)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.73555 5.895187
Time: 3/8/2024 12:14:42 PM   |     Distance: 12.94203    |   Participant Coords: (99.8, 1.7, -10.1)   |   Item Coord: (102.6, 0.0, 2.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.494431 5.868301
Time: 3/8/2024 12:14:42 PM   |     Distance: 13.21081    |   Participant Coords: (99.8, 1.7, -10.1)   |   Item Coord: (102.7, 0.0, 2.7)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.511261 5.903946
Time: 3/8/2024 12:14:42 PM   |     Distance: 13.36068    |   Participant Coords: (99.8, 1.7, -10.1)   |   Item Coord: (102.7, 0.0, 2.8)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.686142 5.851944
Time: 3/8/2024 12:14:42 PM   |     Distance: 11.71626    |   Participant Coords: (99.8, 1.7, -10.1)   |   Item Coord: (102.3, 0.0, 1.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.778061 5.89357
Time: 3/8/2024 12:14:42 PM   |     Distance: 12.96045    |   Participant Coords: (99.8, 1.7, -10.1)   |   Item Coord: (102.7, 0.0, 2.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 6.063278 5.790146
Time: 3/8/2024 12:14:42 PM   |     Distance: 12.23467    |   Participant Coords: (99.8, 1.7, -10.1)   |   Item Coord: (102.3, 0.0, 1.7)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.692657 5.952499
